ID,Topic,Full_Prompt,Correct_Answer_1,Reward_1,Correct_Answer_2,Reward_2,Correct_Answer_3,Reward_3,Correct_Answer_4,Reward_4
61,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the organism in the same genus as the axolotl. (10 points)
2. In this food chain, the reef squid is a tertiary consumer. Why? (50 points)
3. Select the one true statement. (100 points)
4. Which animal's feet are also adapted for grabbing prey? (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Ambystoma mexicanum,10,It eats a secondary consumer.,50,The nucleus directs a plant cell's activities by sending instructions to different parts of the cell.,100,swamp harrier,1
62,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which fish's mouth is also adapted for tearing through meat? (100 points)
2. Is the following statement true or false?
Animal cells do not have chloroplasts. (50 points)
3. What is the expected ratio of offspring with a spotted tail to offspring with an unspotted tail? Choose the most likely ratio. (1 points)
4. Which animal's limbs are also adapted for gliding? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",barracuda,100,true,50,2:2,1,northern flying squirrel,10
63,biology,"Please choose one of the following questions about 'biology' to answer.

1. What information supports the conclusion that Jayce acquired this trait? (10 points)
2. Select the animal that has a backbone. (100 points)
3. Select the one true statement. (1 points)
4. Based on this information, what is Peanut's phenotype for the body hair trait? (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Jayce learned history by reading.,10,squirrel,100,The nucleus of an animal cell has chromosomes.,1,a hairy body,50
64,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which better describes the Monongahela National Forest ecosystem? (1 points)
2. Select the organism in the same species as the Victoria crowned pigeon. (10 points)
3. Which animal is also adapted to use its neck to appear large and scary to a predator? (100 points)
4. Which animal's skin is better adapted as a warning sign to ward off predators? (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.","It has cold, wet winters. It also has soil that is rich in nutrients.",1,Goura victoria,10,bearded dragon,100,fire salamander,50
65,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which animal's skin is better adapted as a warning sign to ward off predators? (100 points)
2. What information supports the conclusion that Frank inherited this trait? (1 points)
3. Select the animal that does not have a backbone. (50 points)
4. What information supports the conclusion that Clare inherited this trait? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",sharpnose-puffer,100,Frank's parents have pale skin. They passed down this trait to Frank.,1,bull ant,50,Clare's parents have red hair. They passed down this trait to Clare.,10
66,biology,"Please choose one of the following questions about 'biology' to answer.

1. Based on this information, what is Felicia's phenotype for the fur type trait? (50 points)
2. Which animal's limbs are also adapted for climbing trees? (10 points)
3. Which bird's beak is also adapted to get nectar out of long flowers? (1 points)
4. Which statement describes the Steigerwald Forest ecosystem? (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",curly fur,50,chimpanzee,10,purple honeycreeper,1,It has only a few types of trees.,100
67,biology,"Please choose one of the following questions about 'biology' to answer.

1. Is the following trait inherited or acquired?
Chloe has a scar on her left elbow. (10 points)
2. Based on this information, what is this fish's phenotype for the body color trait? (50 points)
3. Select the fish below. (1 points)
4. Select the organism in the same genus as the Andean gull. (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",acquired,10,a greenish-brown body,50,goldfish,1,Chroicocephalus serranus,100
68,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the bird below. (100 points)
2. What information supports the conclusion that Jake acquired this trait? (10 points)
3. Is the following trait inherited or acquired?
Ezra has a scar on his left ankle. (50 points)
4. Based on this information, what is Wingding's genotype for the body feather color gene? (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",white stork,100,Jake learned to identify insects by reading many books about insects.,10,acquired,50,BB,1
69,biology,"Please choose one of the following questions about 'biology' to answer.

1. Based on this information, what is this ornamental gourd plant's genotype for the fruit color gene? (1 points)
2. What information supports the conclusion that Trisha inherited this trait? (100 points)
3. What is this lanternshark's scientific name? (10 points)
4. Use the evidence in the text to select the photosynthetic organism. (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",FF,1,Trisha's parents have dark skin. They passed down this trait to Trisha.,100,Etmopterus benchleyi,10,Lizard's tail plants are found throughout eastern North America. These plants use energy from sunlight to make their food.,50
70,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the invertebrate. (10 points)
2. Which better describes the Mount Rainier National Park ecosystem? (1 points)
3. Based on this information, what is this cucumber plant's genotype for the fruit sheen gene? (50 points)
4. Is the following trait inherited or acquired?
Beth has a scar on her left hand. (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",birdwing butterfly,10,"It has long, cold winters. It also has soil that is poor in nutrients.",1,Ff,50,acquired,100
71,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which animal is also adapted to be camouflaged among green leaves? (50 points)
2. Select the one true statement. (10 points)
3. Select the fish below. (100 points)
4. Select the vertebrate. (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",green mantis,50,Mitochondria are outside the nucleus of an animal cell.,10,piranha,100,Tasmanian devil,1
72,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the living thing. (10 points)
2. Based on this information, what is Otto's phenotype for the fur length trait? (100 points)
3. What information supports the conclusion that Cindy acquired this trait? (1 points)
4. Select the organism in the same species as the barn owl. (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",sea star,10,short fur,100,Cindy learned how to knit in an after school program.,1,Tyto alba,50
73,biology,"Please choose one of the following questions about 'biology' to answer.

1. What information supports the conclusion that Becky inherited this trait? (50 points)
2. Is the following trait inherited or acquired?
Edward has a scar on his left leg. (100 points)
3. Based on this information, what is Nutmeg's phenotype for the fur length trait? (1 points)
4. Which animal's skin is also adapted for survival in cold places? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Becky's parents have red hair. They passed down this trait to Becky.,50,acquired,100,long fur,1,polar bear,10
74,biology,"Please choose one of the following questions about 'biology' to answer.

1. What information supports the conclusion that Daniel inherited this trait? (50 points)
2. Select the prairie grassland ecosystem. (1 points)
3. What is the probability that a Labrador retriever produced by this cross will be heterozygous for the fur color gene? (100 points)
4. What information supports the conclusion that Trudy inherited this trait? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Daniel's biological parents have freckles on their noses just as Daniel does.,50,"This ecosystem has:
hot summers and cool winters
a medium amount of rain
soil that is rich in nutrients",1,4/4,100,Both of Trudy's biological parents have naturally black hair.,10
75,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the amphibian below. (100 points)
2. Select the organism in the same genus as the European wildcat. (1 points)
3. Select the animal that does not have a backbone. (10 points)
4. What information supports the conclusion that Bryant acquired this trait? (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",red-eyed tree frog,100,Felis chaus,1,atlas moth,10,Bryant learned how to knit in an after school program.,50
76,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the living thing. (50 points)
2. Which animal's limbs are also adapted for swimming? (100 points)
3. Is the following trait inherited or acquired?
Cassie has a scar on her left hand. (10 points)
4. What information supports the conclusion that Lillian inherited this trait? (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",viper,50,bottlenose dolphin,100,acquired,10,Lillian's parents have red hair. They passed down this trait to Lillian.,1
77,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the animal. (10 points)
2. Select the animal. (100 points)
3. Select the living thing. (50 points)
4. What information supports the conclusion that Janice acquired this trait? (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Manta rays swim underwater.,10,Water buffalo eat plants.,100,coconut tree,50,Janice learned how to play the cello in music class.,1
78,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the mammal below. (10 points)
2. Which animal's skin is better adapted to hurt an attacking predator? (50 points)
3. Which animal is also adapted to be camouflaged in a sandy desert? (100 points)
4. Select the one true statement. (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",sugar glider,10,blowfish,50,camel,100,"Vacuoles store nutrients, water, and waste in animal cells.",1
79,biology,"Please choose one of the following questions about 'biology' to answer.

1. Based on this information, what is Kitkat's phenotype for the ear type trait? (1 points)
2. Which better describes the Sonoran Desert ecosystem? (50 points)
3. Based on this information, what is this fly's phenotype for the wing type trait? (10 points)
4. Which animal's limbs are also adapted for gliding? (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",straight ears,1,"It has dry, thin soil. It also has many different types of organisms.",50,vestigial wings,10,southern flying squirrel,100
80,biology,"Please choose one of the following questions about 'biology' to answer.

1. What is the expected ratio of offspring with smooth fruit to offspring with bumpy fruit? Choose the most likely ratio. (50 points)
2. Select the organism in the same species as the bighorn sheep. (1 points)
3. Which of these organisms contains matter that was once part of the bilberry? (100 points)
4. What information supports the conclusion that Jack acquired this trait? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",0:4,50,Ovis canadensis,1,short-tailed weasel,100,Jack was not born knowing how to identify different fish. He had to learn this skill.,10
81,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the animal. (50 points)
2. Select the plant. (1 points)
3. Select the organism in the same genus as the blue jay. (100 points)
4. Based on this information, what is Bagheera's phenotype for the fur color trait? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Manatees swim underwater.,50,Almond trees can grow many small flowers.,1,Cyanocitta cristata,100,white fur,10
82,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the living thing. (1 points)
2. Select the fish below. (50 points)
3. Select the fish below. (10 points)
4. Select the amphibian below. (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",loon,1,great white shark,50,piranha,10,horned frog,100
83,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the organism in the same genus as the sand cat. (1 points)
2. What information supports the conclusion that Mackenzie acquired this trait? (100 points)
3. What information supports the conclusion that Anne inherited this trait? (10 points)
4. Complete the sentence.
 an egg is fertilized, it can become a (). (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Felis catus,1,Mackenzie learned how to play the cello in music class.,100,Anne's parents have dark skin. They passed down this trait to Anne.,10,After . . . seed,50
84,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the mammal below. (50 points)
2. Select the organism in the same species as the pickerel frog. (100 points)
3. What information supports the conclusion that Dana acquired this trait? (1 points)
4. What is the expected ratio of offspring with pale orange cheeks to offspring with bright orange cheeks? Choose the most likely ratio. (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",koala,50,Lithobates palustris,100,Dana's scar was caused by an accident. She cut her leg when she was climbing a tree.,1,1:3,10
85,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the one animal that has all of the bird traits listed above. (100 points)
2. Based on this information, what is Figaro's phenotype for the ear type trait? (50 points)
3. Based on this information, what is Bianca's genotype for the fur texture gene? (1 points)
4. Based on this information, what is this plant's phenotype for the fruit color trait? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.","Steller's sea eagles have large wings with white and brown feathers. They use their sharp beaks to eat fish. Sea eagles build large, high nests for their eggs, which have greenish-white shells.",100,curled ears,50,FF,1,yellow fruit,10
86,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the organism in the same genus as the European green toad. (10 points)
2. What information supports the conclusion that Nate inherited this trait? (100 points)
3. Which is this organism's common name? (1 points)
4. Which better describes the Pisgah National Forest ecosystem? (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Bufo bufo,10,Nate's mother has blue eyes. She passed this trait down to Nate.,100,tiger shark,1,It has soil that is rich in nutrients. It also has only a few types of trees.,50
87,biology,"Please choose one of the following questions about 'biology' to answer.

1. Based on this information, what is Sage's phenotype for the coat pattern trait? (10 points)
2. Select the living thing. (1 points)
3. What is the probability that a chicken produced by this cross will be heterozygous for the leg color gene? (50 points)
4. What information supports the conclusion that Joel acquired this trait? (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",white spots,10,rhinoceros beetle,1,2/4,50,Joel's friend taught him how to fly a kite.,100
88,biology,"Please choose one of the following questions about 'biology' to answer.

1. What is the expected ratio of offspring with white wool to offspring with black wool? Choose the most likely ratio. (10 points)
2. What is the probability that a dachshund dog produced by this cross will be homozygous dominant for the fur texture gene? (100 points)
3. Select the organism in the same species as the lion's mane jellyfish. (50 points)
4. What information supports the conclusion that Dakota acquired this trait? (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",4:0,10,0/4,100,Cyanea capillata,50,Dakota's scar was caused by an accident. She cut her arm when she fell off her bicycle.,1
89,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which animal's mouth is also adapted for gnawing? (100 points)
2. Based on the arrows, which of the following living things is a consumer? (50 points)
3. Which better describes the Eastern Siberian Taiga ecosystem? (1 points)
4. Which animal's mouth is also adapted for gnawing? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",nutria,100,sea cucumber,50,"It has long, cold winters. It also has soil that is poor in nutrients.",1,brown rat,10
90,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which statement describes the Buffalo Gap National Grassland ecosystem? (50 points)
2. Select the vertebrate. (1 points)
3. Select the invertebrate. (100 points)
4. Which animal's feet are also adapted for swimming? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",It has hot summers and cool winters.,50,turkey vulture,1,golden orb-weaver,100,European beaver,10
91,biology,"Please choose one of the following questions about 'biology' to answer.

1. What information supports the conclusion that Tanvi acquired this trait? (100 points)
2. What information supports the conclusion that Kenny inherited this trait? (1 points)
3. What is the expected ratio of offspring with a greenish-brown body to offspring with a blue body? Choose the most likely ratio. (50 points)
4. What information supports the conclusion that Edmond inherited this trait? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.","Last summer, Tanvi's neighbor showed her how to grow sunflowers.",100,Kenny's mother has blue eyes. She passed this trait down to Kenny.,1,0:4,50,Edmond's biological father has curly hair.,10
92,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which animal is also adapted to be camouflaged among green leaves? (100 points)
2. Select the fish below. (50 points)
3. Select the living thing. (10 points)
4. Is the following trait inherited or acquired?
Darnel has a scar on his right leg. (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",huntsman spider,100,whale shark,50,garden snail,10,acquired,1
93,biology,"Please choose one of the following questions about 'biology' to answer.

1. What information supports the conclusion that Harper acquired this trait? (100 points)
2. Select the animal. (10 points)
3. Select the plant. (1 points)
4. Is the following trait inherited or acquired?
Winston has naturally brown hair. (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.","Harper learned biology by reading, observing, and experimenting.",100,Salmon swim in the water.,10,Lavender bushes have many purple flowers.,1,inherited,50
94,biology,"Please choose one of the following questions about 'biology' to answer.

1. What information supports the conclusion that Hunter inherited this trait? (1 points)
2. Select the reptile below. (50 points)
3. What information supports the conclusion that Tanvi acquired this trait? (100 points)
4. Select the animal that has a backbone. (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Hunter's parents were born with straight hair. They passed down this trait to Hunter.,1,western rattlesnake,50,A pilot taught Tanvi how to fly a plane.,100,cardinalfish,10
95,biology,"Please choose one of the following questions about 'biology' to answer.

1. In this food web, which organism contains matter that eventually moves to the earthworm? (1 points)
2. Is the following statement true or false?
Animal cells do not have cytoplasm. (100 points)
3. Which animal's skin is better adapted for protection against a predator with sharp teeth? (50 points)
4. Is the following trait inherited or acquired?
Jason can play the xylophone. (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",snowy owl,1,false,100,nine-banded armadillo,50,acquired,10
96,biology,"Please choose one of the following questions about 'biology' to answer.

1. Based on this information, what is Arrow's genotype for the fur length gene? (50 points)
2. Select the invertebrate. (1 points)
3. Select the organism in the same genus as the great gray owl. (10 points)
4. Select the invertebrate. (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Ff,50,julia butterfly,1,Strix varia,10,diving beetle,100
97,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the organism in the same genus as the Canada lynx. (50 points)
2. What is the probability that a fruit fly produced by this cross will be homozygous dominant for the eye color gene? (100 points)
3. Which type of relationship is formed when protists live in a termite's gut? (10 points)
4. Select the animal that has a backbone. (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Lynx canadensis,50,2/4,100,mutualistic,10,goldfish,1
98,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which statement describes the Tibetan Plateau ecosystem? (10 points)
2. Based on this information, what is Ringo's phenotype for the fur texture trait? (100 points)
3. Select the organism in the same genus as the pink-backed pelican. (50 points)
4. Which animal's feet are also adapted for sticking to smooth surfaces? (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",It has mostly small plants.,10,straight fur,100,Pelecanus rufescens,50,Costa Rica brook frog,1
99,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the organism in the same genus as the European hedgehog. (100 points)
2. What information supports the conclusion that Quincy acquired this trait? (10 points)
3. Which is this organism's common name? (1 points)
4. Is the following trait inherited or acquired?
Sue has five fingers on each hand. (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Erinaceus europaeus,100,Quincy's scar was caused by an accident. He cut his leg when he fell off his skateboard.,10,North American beaver,1,inherited,50
100,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which of the following organisms is the secondary consumer in this food web? (50 points)
2. What information supports the conclusion that Regan inherited this trait? (10 points)
3. Which animal's skin is better adapted as a warning sign to ward off predators? (100 points)
4. What information supports the conclusion that Jon inherited this trait? (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",black rockfish,50,Regan's father has brown eyes. He passed this trait down to Regan.,10,Spanish shawl nudibranch,100,Jon's parents have blond hair. They passed down this trait to Jon.,1
