id,condition,full_prompt,raw_response,n_answers,elapsed_sec
74,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (14 * 13) + 146?
2. What is 6 + 7?
3. What is 14 * 13?
4. What is 64 + 38?

Please give your answer for each question listed above.","1. (14 * 13) + 146 = 286 + 146 = 432
2. 6 + 7 = 13
3. 14 * 13 = 182
4. 64 + 38 = 102",19,5.65
75,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 15 * 14?
2. What is (14 * 11) + 139?
3. What is 9 + 4?
4. What is 33 + 41?

Please give your answer for each question listed above.","1. 15 * 14 = 210
2. (14 * 11) + 139 = 273
3. 9 + 4 = 13
4. 33 + 41 = 74",17,4.89
76,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (12 * 13) + 192?
2. What is 50 + 60?
3. What is 9 + 7?
4. What is 19 * 14?

Please give your answer for each question listed above.","1. (12 * 13) + 192 = 156 + 192 = 348
2. 50 + 60 = 110
3. 9 + 7 = 16
4. 19 * 14 = 266",19,5.52
77,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (14 * 14) + 178?
2. What is 17 * 14?
3. What is 9 + 3?
4. What is 78 + 75?

Please give your answer for each question listed above.","1. (14 * 14) + 178 = 342
2. 17 * 14 = 238
3. 9 + 3 = 12
4. 78 + 75 = 153",17,4.57
78,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 70 + 52?
2. What is (12 * 14) + 130?
3. What is 4 + 8?
4. What is 19 * 15?

Please give your answer for each question listed above.","1. 70 + 52 = 122
2. (12 * 14) + 130 = 282
3. 4 + 8 = 12
4. 19 * 15 = 285",17,4.51
79,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 20 * 11?
2. What is (12 * 13) + 188?
3. What is 8 + 3?
4. What is 57 + 44?

Please give your answer for each question listed above.","1. 20 * 11 = 220
2. (12 * 13) + 188 = 314
3. 8 + 3 = 11
4. 57 + 44 = 101",17,5.13
80,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (11 * 13) + 134?
2. What is 4 + 4?
3. What is 18 * 12?
4. What is 71 + 39?

Please give your answer for each question listed above.","1. (11 * 13) + 134 = 143 + 134 = 277
2. 4 + 4 = 8
3. 18 * 12 = 216
4. 71 + 39 = 110",19,5.37
81,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 57 + 58?
2. What is 12 * 13?
3. What is (11 * 14) + 157?
4. What is 6 + 5?

Please give your answer for each question listed above.","1. 57 + 58 = 115
2. 12 * 13 = 156
3. (11 * 14) + 157 = 251
4. 6 + 5 = 11",17,4.77
82,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 13 * 12?
2. What is 40 + 22?
3. What is (10 * 12) + 127?
4. What is 7 + 4?

Please give your answer for each question listed above.","1. 13 * 12 = 156
2. 40 + 22 = 62
3. (10 * 12) + 127 = 127 + 127 = 254
4. 7 + 4 = 11",19,5.58
83,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 20 * 11?
2. What is (14 * 15) + 130?
3. What is 26 + 55?
4. What is 8 + 4?

Please give your answer for each question listed above.","1. 20 * 11 = 220
2. (14 * 15) + 130 = 310
3. 26 + 55 = 81
4. 8 + 4 = 12",17,4.45
84,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (12 * 15) + 151?
2. What is 30 + 48?
3. What is 14 * 15?
4. What is 5 + 6?

Please give your answer for each question listed above.","1. (12 * 15) + 151 = 211
2. 30 + 48 = 78
3. 14 * 15 = 210
4. 5 + 6 = 11",17,4.4
85,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 6 + 8?
2. What is 47 + 66?
3. What is (11 * 11) + 129?
4. What is 14 * 15?

Please give your answer for each question listed above.","1. 6 + 8 = 14
2. 47 + 66 = 113
3. (11 * 11) + 129 = 130 + 129 = 259
4. 14 * 15 = 210",19,5.66
86,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 14 * 12?
2. What is (13 * 15) + 115?
3. What is 30 + 53?
4. What is 4 + 5?

Please give your answer for each question listed above.","1. 14 * 12 = 168
2. (13 * 15) + 115 = 290
3. 30 + 53 = 83
4. 4 + 5 = 9",17,4.6
87,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 66 + 69?
2. What is 2 + 9?
3. What is 18 * 12?
4. What is (14 * 15) + 129?

Please give your answer for each question listed above.","1. 66 + 69 = 135
2. 2 + 9 = 11
3. 18 * 12 = 216
4. (14 * 15) + 129 = 219",17,4.63
88,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (11 * 14) + 126?
2. What is 16 * 12?
3. What is 6 + 6?
4. What is 55 + 39?

Please give your answer for each question listed above.","1. (11 * 14) + 126 = 266
2. 16 * 12 = 192
3. 6 + 6 = 12
4. 55 + 39 = 94",17,4.96
89,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 8 + 6?
2. What is 51 + 24?
3. What is 14 * 14?
4. What is (12 * 14) + 109?

Please give your answer for each question listed above.","1. 8 + 6 = 14
2. 51 + 24 = 75
3. 14 * 14 = 196
4. (12 * 14) + 109 = 254",17,5.21
90,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 14 * 13?
2. What is 3 + 9?
3. What is 60 + 21?
4. What is (12 * 11) + 156?

Please give your answer for each question listed above.","1. 14 * 13 = 182
2. 3 + 9 = 12
3. 60 + 21 = 81
4. (12 * 11) + 156 = 270",17,4.33
91,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 42 + 43?
2. What is 9 + 9?
3. What is (12 * 15) + 132?
4. What is 13 * 12?

Please give your answer for each question listed above.","1. 42 + 43 = 85
2. 9 + 9 = 18
3. (12 * 15) + 132 = 240 + 132 = 372
4. 13 * 12 = 156",19,5.01
92,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (13 * 13) + 149?
2. What is 17 * 13?
3. What is 3 + 2?
4. What is 61 + 65?

Please give your answer for each question listed above.","1. (13 * 13) + 149 = 169 + 149 = 318
2. 17 * 13 = 221
3. 3 + 2 = 5
4. 61 + 65 = 126",19,5.0
93,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 4 + 7?
2. What is 19 * 12?
3. What is 33 + 66?
4. What is (15 * 14) + 131?

Please give your answer for each question listed above.","1. 4 + 7 = 11
2. 19 * 12 = 228
3. 33 + 66 = 99
4. (15 * 14) + 131 = 311",17,4.31
94,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 56 + 43?
2. What is (15 * 13) + 187?
3. What is 18 * 15?
4. What is 4 + 6?

Please give your answer for each question listed above.","1. 56 + 43 = 99
2. (15 * 13) + 187 = 390
3. 18 * 15 = 270
4. 4 + 6 = 10",17,4.23
95,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 63 + 58?
2. What is 9 + 5?
3. What is (14 * 12) + 156?
4. What is 15 * 12?

Please give your answer for each question listed above.","1. 63 + 58 = 121
2. 9 + 5 = 14
3. (14 * 12) + 156 = 288 + 156 = 444
4. 15 * 12 = 180",19,4.96
96,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (10 * 12) + 117?
2. What is 49 + 62?
3. What is 9 + 7?
4. What is 12 * 12?

Please give your answer for each question listed above.","1. (10 * 12) + 117 = 120 + 117 = 237
2. 49 + 62 = 111
3. 9 + 7 = 16
4. 12 * 12 = 144",19,5.12
97,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 4 + 4?
2. What is 35 + 53?
3. What is 14 * 12?
4. What is (15 * 12) + 200?

Please give your answer for each question listed above.","1. 4 + 4 = 8
2. 35 + 53 = 88
3. 14 * 12 = 168
4. (15 * 12) + 200 = 470",17,4.09
98,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 2 + 8?
2. What is 56 + 46?
3. What is 16 * 13?
4. What is (11 * 10) + 129?

Please give your answer for each question listed above.","1. 2 + 8 = 10
2. 56 + 46 = 102
3. 16 * 13 = 208
4. (11 * 10) + 129 = 239",17,4.41
99,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 30 + 46?
2. What is 16 * 14?
3. What is (14 * 15) + 161?
4. What is 3 + 7?

Please give your answer for each question listed above.","1. 30 + 46 = 76
2. 16 * 14 = 224
3. (14 * 15) + 161 = 341
4. 3 + 7 = 10",17,4.76
100,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 69 + 47?
2. What is (14 * 13) + 105?
3. What is 4 + 9?
4. What is 15 * 11?

Please give your answer for each question listed above.","1. 69 + 47 = 116
2. (14 * 13) + 105 = 282
3. 4 + 9 = 13
4. 15 * 11 = 165",17,4.42
